userName;score;at;content;;
Krisna hadi Saputra;1;16/10/2024 06.47;postingan cuman muter-muter sinyal susah pokoknya kalo buka instagram, sedangkan buat apk lainnya lancar mohon di tindak lanjutkan;;
Rifki Juniar;5;16/10/2024 06.47;Bagus;;
mayang ana putri;4;16/10/2024 06.41;Gimana ini kok ig saya gk bisa memuat kabar baru ya,,, tolong di tindak lanjutin. Makasih 🙏🙏;;
Holy Church;4;16/10/2024 06.40;BerD0a BerSyukur Memuji dan Menyembah TUHAN YESUS KRISTUS penuh KUASA Ajaib Hebat Dahsyat dan Luarbiasa Selalu memberi Mujizat keSelamatan KeSehatan Pemulihan Ekonomi keuangan Ber-limpah2 dalam kehidupanmu Amin 🙏 By Yehuda Aput Saputra;;
Rian Saya;5;16/10/2024 06.37;bagus;;
Putri Molamahu;5;16/10/2024 06.34;Bagus;;
Ibnu Okta setyawan;5;16/10/2024 06.34;🗿;;
Icut Chan9878;5;16/10/2024 06.33;Bgus;;
muhammad Fikry;5;16/10/2024 06.30;Sangat baik;;
Outter;1;16/10/2024 06.30;Ni kenapa dah Instagram aneh, akun gw kena suspend 2× padahal ga ngapa-ngapain, upload foto aja jarang, apanya yang melanggar komunitas coba, masa gw harus upload tiap hari gitu stres, plis lah perbaiki masa tiap buka Instagram harus ngajuin banding mulu, pegel kepala di suruh selfi kanan kiri atas bawah;;
Marcel Simanjuntak;5;16/10/2024 06.27;Keren;;
Frans Tra;5;16/10/2024 06.27;Sangat baik Skali☺️☺️☺️;;
ganesha kebumen;5;16/10/2024 06.23;I Love This App;;
Babon 137;4;16/10/2024 06.21;Jossss;;
Syifa Islami Auliya Qolbi;4;16/10/2024 06.18;tidak bisa mereplay foto untuk (balasan anda);;
Purnama Wati;5;16/10/2024 06.15;Instagram make a foto & video be amazing 😊👍😍;;
Wisnu Ramdhani123;5;16/10/2024 06.12;Bgus;;
Hadi Prasetio;2;16/10/2024 06.12;Lag leg;;
Fir Ajjach;5;16/10/2024 06.07;Aplikasi ini sangat mudah dan ngebantu bangetz;;
Kiya;5;16/10/2024 06.07;Kerenn;;
Ninda Noveanda;4;16/10/2024 06.03;Mantap;;
Riska Anggraeni;1;16/10/2024 06.01;Baru install lagi ga bisa masuk ke akun lama, error terus;;
Sapri Tikka;5;16/10/2024 06.01;membantu dalam Pekerjaan;;
Siti Rabiah;5;16/10/2024 05.54;Aplikasinya sangat bagus, tapi saya belum download 😅;;
Jaina Intan;1;16/10/2024 05.47;instgram banyak masalah saya baru membuat akun sudah diajukan banding padahal saya membuat akun pribadi tolong selesai masalah ini pihak instgram😓;;
Haikal Maulana;5;16/10/2024 05.45;Suka;;
Jiro Harutogin (Asher);5;16/10/2024 05.40;Saya suka aplimasi ini;;
Sunu Handoko;5;16/10/2024 05.38;Instagram memang mantap, semoga akun saya bisa bermanfaat buat banyak orang. Amin;;
Adi Purnama;5;16/10/2024 05.33;Macet;;
Nando Padilah Fajar;5;16/10/2024 05.31;Yang make Telkomsel apa Ig nya ngeleg?;;
Bedul Pusing;4;16/10/2024 05.27;kadang bagus sinyal nya kadang jelek;;
Yusuf Arifin;1;16/10/2024 05.16;IG sekarang jadi aplikasi busuk.;;
Salman777 Salman666;5;16/10/2024 05.15;Mantapppp;;
27_ Raja Alfa Destianto;1;16/10/2024 05.15;Tiba tiba banyak banget akun yang ke suspend tanpa alasan yang jelas!!;;
Hasna Inha;5;16/10/2024 05.15;Sangat bagus dan sangat membantu;;
febry ciungg;5;16/10/2024 05.12;Ok;;
Rizal Assenttuli;5;16/10/2024 05.09;Mantp;;
Sopi Sopiyanti;4;16/10/2024 05.06;Kenpa saya udah 1 Minggu tidak bisa menggunakan aplikasi Instagram ini;;
Mc Dhoni;4;16/10/2024 05.01;Ini app kalo blum update pasti ngebug;;
Gober Prihatin;5;16/10/2024 04.58;Aplikasi yg ssngat bagus;;
Muhammad Siddiq;5;16/10/2024 04.58;🚀🚀;;
sadar Sadar Sadar;1;16/10/2024 04.57;Instagram ini model lama.. Saya tdk bisa mencari efek terbaru;;
Irmawati Suhari;5;16/10/2024 04.52;Good;;
Gtau Y;1;16/10/2024 04.51;Saya sangat kecewa kenapa Instagram meloloskan postingan mengarah ke seksual apalagi yg posting akun anak-anak , dengan tag ajakan seksual, Instagram ini kan banyak dikonsumsi dari anak-anak hingga orang dewasa,jadi lebih di perketat tentang postingan yang mengarah ke seksual, seharusnya di blokir jangan hanya di hapus postingan nya Krn si pemilik akun bisa memposting kembali.;;
Keyla Keyla;5;16/10/2024 04.50;Saya sangat suka dengan instagram;;
Sanusi;4;16/10/2024 04.49;Bagus;;
Rahmat hendry Hendry;5;16/10/2024 04.45;menjelajah;;
Ahmad Jaenudin;5;16/10/2024 04.39;IG best;;
Nur Rahma;5;16/10/2024 04.37;Karena bagus dan bisa untk mencari teman atau membuat postingan tentang sesuatu yang kita mau;;
Yudha Prasetyo;5;16/10/2024 04.34;Mantap mantap;;
Nadya Anom;1;16/10/2024 04.31;Ngelag trosssss gaguna semuanya patah2 udah di update masih patah2 pdahal buka aplikasi lain lancar2 aja;;
addiwijaya27;5;16/10/2024 04.26;Aplikasi nya keren banget;;
Slamet Riayadi;5;16/10/2024 04.25;Ok;;
Mery Durakal;5;16/10/2024 04.22;Gaga;;
octa Tya;5;16/10/2024 04.10;Luar biasa;;
Abdul Kahpi;5;16/10/2024 04.08;The best for evers;;
Usman Fauzi;5;16/10/2024 04.02;Terima kasih Instagram;;
rani rudi;5;16/10/2024 04.01;Mantab x;;
Adom Abah adom;1;16/10/2024 04.01;Bgus Memuas kn;;
LOW LOW;5;16/10/2024 03.53;Ok;;
Dasim Damara;5;16/10/2024 03.50;Ok;;
